url,title,author,creator,producer,version,size,xmp,pages
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/02/PAR_nanotech.pdf,<no title>,<no author>,Adobe InDesign CS3 (5.0.2),Adobe PDF Library 8.0,1.4,3491933,"Adobe XMP Core 4.0-c006 1.236519, Wed Jun 14 2006 08:31:24",9
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2020-Virtual-Townhall-International-Students.pdf,<no title>,"Ballestrini, Christine",Microsoft Word,<no producer>,1.7,93878,3.1-701,2
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2020-Mental-Health-Wellbeing-Our-Students.pdf,<no title>,"Ballestrini, Christine",Microsoft Word,<no producer>,1.7,134546,3.1-701,2
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Who-We-Are_select-slides.pdf,Who-We-Are_select-slides,<no author>,<no creator>,Equidox 5,1.4,12649793,"Adobe XMP Core 5.2-c001 63.139439, 2010/09/27-13:37:26        ",5
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2019-UConn-Student-Named-Rhodes-Scholar.pdf,<no title>,"Ballestrini, Christine",Microsoft Word,<no producer>,1.7,98076,3.1-701,1
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2017-08-29-Herbst-Welcome-Message-to-the-Community.pdf,<no title>,Jim Reardon,Microsoft® Word 2016,Microsoft® Word 2016,1.5,228418,<no xmp toolkit version>,3
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Fall-2021-Semester-Update.pdf,Fall-2021-Semester-Update,<no author>,<no creator>,Equidox 5,1.7,180721,"Adobe XMP Core 5.6-c017 91.164464, 2020/06/15-10:20:05        ",3
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Message-from-President-and-Provost-on-Community-Responsibility.pdf,<no title>,Jim Reardon,Microsoft® Word for Office 365,Microsoft® Word for Office 365,1.7,142965,3.1-701,3
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Meeting-2-Carbon-Offsets.pdf,Utilizing Carbon Credit Market Mechanisms to Achieve University-Wide Carbon Neutrality,"Djaba, Theophilus",Microsoft® PowerPoint® for Microsoft 365,Microsoft® PowerPoint® for Microsoft 365,1.7,847997,3.1-701,41
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Phased-Return-Goals-and-Plans-President-2020.pdf,<no title>,"Kelleher, Brian",Microsoft Word,<no producer>,1.7,133182,3.1-701,2
